all_diag,dname
UPPER BACK PAIN,sec011_var001_Allopathic Diagnosis
BECKER'S MUSCULAR DYSTROPHY,sec011_var001_Allopathic Diagnosis
STRAIN ON ERECTOR SPINAE,sec011_var001_Allopathic Diagnosis
HEEL PAIN- LEFT HEEL BURSITIS- BOOT HEEL,sec011_var001_Allopathic Diagnosis
RIGHT HEEL- CALCANEAL SPUR,sec011_var001_Allopathic Diagnosis
VERICOSE VEINS IN BOTH LEGS WITH VENUS STASIS ECZEMA,sec011_var001_Allopathic Diagnosis
HEEL PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
FATIGUE FOR EVALUATION,sec011_var001_Allopathic Diagnosis
DE QUERVAIN'S TENOSYNOVITIS,sec011_var001_Allopathic Diagnosis
LICHEN'S PLANUS,sec011_var001_Allopathic Diagnosis
TRANSVERSE MYELITIS,sec011_var001_Allopathic Diagnosis
NPH,sec011_var001_Allopathic Diagnosis
PARKINSSONS DISEASE,sec011_var001_Allopathic Diagnosis
POST CHEMOTHERAPY- WEAKNESS,sec011_var001_Allopathic Diagnosis
POST CHEMOTHERAPY- WEAKNESS ( RELAPSE IN THE  BRAIN),sec011_var001_Allopathic Diagnosis
OA- ADVANCED.,sec011_var001_Allopathic Diagnosis
TENOSIVITIS -ABD POL LONGUSBREIVES,sec011_var001_Allopathic Diagnosis
TENOSYNOVITIS - ABDUCTOR POLICIES LONGUS,sec011_var001_Allopathic Diagnosis
BREVIS,sec011_var001_Allopathic Diagnosis
PD-PDP,sec011_var001_Allopathic Diagnosis
LUMBAR PARASPINAL MUSCLE SPASM,sec011_var001_Allopathic Diagnosis
PD PLUS - MSA  - CEREBELLAR,sec011_var001_Allopathic Diagnosis
PD PLUS - MSA - CEREBELLAR,sec011_var001_Allopathic Diagnosis
DYE ALLERGY,sec011_var001_Allopathic Diagnosis
-FACE,sec011_var001_Allopathic Diagnosis
TINEA- THIGH,sec011_var001_Allopathic Diagnosis
CONVULSIVE DISORDER,sec011_var001_Allopathic Diagnosis
PARKINSON DISEASE,sec011_var001_Allopathic Diagnosis
PARKISONS DISEASE- MSA,sec011_var001_Allopathic Diagnosis
PSP,sec011_var001_Allopathic Diagnosis
DRUG INDUCED,sec011_var001_Allopathic Diagnosis
PARKINSONS ( MSA OR PSP,sec011_var001_Allopathic Diagnosis
PARKINSONS PLUS- PSP,sec011_var001_Allopathic Diagnosis
PARKINSONS PLUS-MSA,sec011_var001_Allopathic Diagnosis
STRESS,sec011_var001_Allopathic Diagnosis
POST CVA WITH RIGHT HEMIPAERESIS,sec011_var001_Allopathic Diagnosis
POST METABOLOIC ENCEPHALOPATHY,sec011_var001_Allopathic Diagnosis
OA WITH SYNOVITIS,sec011_var001_Allopathic Diagnosis
OSTEOGENESIS IMPERFECTA,sec011_var001_Allopathic Diagnosis
PARAPLEGIA ( POST TRAUMATIC ),sec011_var001_Allopathic Diagnosis
ACUTE ANAL FISSURE,sec011_var001_Allopathic Diagnosis
OA -SHOULDER-B/L,sec011_var001_Allopathic Diagnosis
VIRAL ARTHRALGIA,sec011_var001_Allopathic Diagnosis
FOR GENERAL CHECK UP,sec011_var001_Allopathic Diagnosis
LBA- IVDP,sec011_var001_Allopathic Diagnosis
DM-TYPE 1,sec011_var001_Allopathic Diagnosis
OVARIAN HEMORRHAGIC CYST,sec011_var001_Allopathic Diagnosis
DEMENTIA WITH LEVIBODY DISEASE,sec011_var001_Allopathic Diagnosis
OA RIGHT KNEE,sec011_var001_Allopathic Diagnosis
PSORIATIC ARTHRITIS.,sec011_var001_Allopathic Diagnosis
THORACIC INLET SYNDROMELEFT SIDE,sec011_var001_Allopathic Diagnosis
THORACIC INLET SYNDROME LEFT SIDE,sec011_var001_Allopathic Diagnosis
DEODINITIS/ APPENDICITIS,sec011_var001_Allopathic Diagnosis
THROSIC INLET SYNDROME,sec011_var001_Allopathic Diagnosis
CERVICAL RIB SYNDROME,sec011_var001_Allopathic Diagnosis
MEDIAL COLLATERAL LEGAMENT INJURY,sec011_var001_Allopathic Diagnosis
MEDIAL COLLATERAL LIGAMENT TEAR,sec011_var001_Allopathic Diagnosis
LBA-RADICULOPATHY WITH LUMABR CANAL STENOSIS,sec011_var001_Allopathic Diagnosis
DIFFUSE OSTEOPOROTIC CHANGES IN BOTH KNEE JOINT REQUIRING REPLACEMENT SURGERY,sec011_var001_Allopathic Diagnosis
OA- ADVANCED R>L,sec011_var001_Allopathic Diagnosis
DISCOLOURATION OF FOOT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
TRIPLE DEFORMITY OF LEFT KNEE,sec011_var001_Allopathic Diagnosis
OA- SECONDARY TO MENISCUS TEAR,sec011_var001_Allopathic Diagnosis
OA- SEC TO MENISCAL TEAR,sec011_var001_Allopathic Diagnosis
PES PLANUS WITH EVERSION OF FOOT,sec011_var001_Allopathic Diagnosis
DIABETIC  FATIGUE SYNDROME,sec011_var001_Allopathic Diagnosis
OA-ANKLE,sec011_var001_Allopathic Diagnosis
SHORT BOWEL,sec011_var001_Allopathic Diagnosis
ANKLE SWELLING-OA-,sec011_var001_Allopathic Diagnosis
PLANTAR PSORIASIS,sec011_var001_Allopathic Diagnosis
MUSCLE STRAIN AT THE REGION OF HIP JOINT.,sec011_var001_Allopathic Diagnosis
POSTERIOR HIP PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
GLIOMA,sec011_var001_Allopathic Diagnosis
SCHWANNOMA- POST SURGERY STATUS,sec011_var001_Allopathic Diagnosis
ERECTOR SPINAE SPASM - LEFT SIDE,sec011_var001_Allopathic Diagnosis
BAKERS CYST L,sec011_var001_Allopathic Diagnosis
BELLANITIS,sec011_var001_Allopathic Diagnosis
MEDAIL COLLATERAL LIGAMENT STRAIN,sec011_var001_Allopathic Diagnosis
MEDIAL COLLATERAL LIGAMENT STRAIN,sec011_var001_Allopathic Diagnosis
LATERAL LIGAMENT TEAR OF RIGHT KNEE JOINT,sec011_var001_Allopathic Diagnosis
OA [R>L],sec011_var001_Allopathic Diagnosis
ASCUS,sec011_var001_Allopathic Diagnosis
CANDIDIASIS,sec011_var001_Allopathic Diagnosis
OSTEOPENIA OA,sec011_var001_Allopathic Diagnosis
SPRAPATELLAR BURSITIS,sec011_var001_Allopathic Diagnosis
OA SYNOVITIS,sec011_var001_Allopathic Diagnosis
OA WIT BAKER/S CYST,sec011_var001_Allopathic Diagnosis
WEAKNESS FOR LOWER LIMB FOR EVALUATION,sec011_var001_Allopathic Diagnosis
AT L5,sec011_var001_Allopathic Diagnosis
NARCOLEPSY,sec011_var001_Allopathic Diagnosis
WITH SYNOVITIS,sec011_var001_Allopathic Diagnosis
BA COPD,sec011_var001_Allopathic Diagnosis
LATERAL COLLATERAL LIGAMENT STRAIN,sec011_var001_Allopathic Diagnosis
MELASMA,sec011_var001_Allopathic Diagnosis
DRY ECZEMA,sec011_var001_Allopathic Diagnosis
CONSVULSIVE DISORDER.,sec011_var001_Allopathic Diagnosis
JENU VALGUS,sec011_var001_Allopathic Diagnosis
LEFT LEG WEAKNESS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
BURSITIS-ACHILIS,sec011_var001_Allopathic Diagnosis
ACHILIS - BURSITIS- RESOLVED.,sec011_var001_Allopathic Diagnosis
POST CHICKENGUNYA STATUS,sec011_var001_Allopathic Diagnosis
LEFT LEG NUMBNESS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SENSORY MOTOR  NEUROPATHY/ / TRANSVERSE MYELITIS/ MS,sec011_var001_Allopathic Diagnosis
BURNING SENSATION IN THE FOOT FOR EVALUATION,sec011_var001_Allopathic Diagnosis
DIFFUSE HAIR FALL,sec011_var001_Allopathic Diagnosis
OLD ACHILLES BURSITIS,sec011_var001_Allopathic Diagnosis
PARASPINAL MUSCLE SPASM,sec011_var001_Allopathic Diagnosis
LOW BACK PAIN FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
# D-12 VERTIBRAE,sec011_var001_Allopathic Diagnosis
# D-12 VERTEBRAE,sec011_var001_Allopathic Diagnosis
#D12 HEALED,sec011_var001_Allopathic Diagnosis
LBA-TRAUMATIC,sec011_var001_Allopathic Diagnosis
FLANK PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
CVA-POSTERIOR CIRCULATION INFARCTS,sec011_var001_Allopathic Diagnosis
PARKINSON PLUS,sec011_var001_Allopathic Diagnosis
PARKINSONS DISEASE-MSA,sec011_var001_Allopathic Diagnosis
(MSA),sec011_var001_Allopathic Diagnosis
POST HEMIPLEGIC SEQUEL,sec011_var001_Allopathic Diagnosis
BRONCHITIS,sec011_var001_Allopathic Diagnosis
WITH SEC INFECTION,sec011_var001_Allopathic Diagnosis
ANDROGENIC ALOPECIA,sec011_var001_Allopathic Diagnosis
MYALGIA ( RT CALF MUSCLES ),sec011_var001_Allopathic Diagnosis
GESTATION,sec011_var001_Allopathic Diagnosis
LOWER LIMB ODEMA FOR EVALUATION,sec011_var001_Allopathic Diagnosis
1 ) FOLLICULITIS .,sec011_var001_Allopathic Diagnosis
2 ) PMLE,sec011_var001_Allopathic Diagnosis
SYNOVITIS -RT KNEE JOINT,sec011_var001_Allopathic Diagnosis
ARHRALGIA-POST VIRAL,sec011_var001_Allopathic Diagnosis
HICCUPS- SECONDARY TO GASTRITIS,sec011_var001_Allopathic Diagnosis
OA- EARLY,sec011_var001_Allopathic Diagnosis
OA CALCANEAL SPURR,sec011_var001_Allopathic Diagnosis
POLYARTHRITHIS,sec011_var001_Allopathic Diagnosis
FIBROID,sec011_var001_Allopathic Diagnosis
BURNING FOOT FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
ANKLE PAIN- PES PLANUS,sec011_var001_Allopathic Diagnosis
HIRSUTISM,sec011_var001_Allopathic Diagnosis
DEQUERVAIN SYNDROME,sec011_var001_Allopathic Diagnosis
TRIGGER FINGER DEQUERVAIN SYNDROME,sec011_var001_Allopathic Diagnosis
SHIN PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
CONSTPATION,sec011_var001_Allopathic Diagnosis
SCIATICA SYNDROME,sec011_var001_Allopathic Diagnosis
FEET PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
MUSCULAR SPRAIN,sec011_var001_Allopathic Diagnosis
SHOULDER MUSCLE STRAIN,sec011_var001_Allopathic Diagnosis
CRACKED HEELS,sec011_var001_Allopathic Diagnosis
TRAPEZIUS STRAIN,sec011_var001_Allopathic Diagnosis
DM2,sec011_var001_Allopathic Diagnosis
MYOPIA,sec011_var001_Allopathic Diagnosis
ALLERGIC CONJUCTIVITIS,sec011_var001_Allopathic Diagnosis
LEG PAIN,sec011_var001_Allopathic Diagnosis
TRIGGER FINGER.,sec011_var001_Allopathic Diagnosis
LOSS OF APETITE,sec011_var001_Allopathic Diagnosis
PRIMARY INFERTILITY,sec011_var001_Allopathic Diagnosis
PRIMARY INFERTILITY /PCOD,sec011_var001_Allopathic Diagnosis
PRIMARY INFERTILITY  WITH HISTORY OF PCOD,sec011_var001_Allopathic Diagnosis
DM T2- SECONDARY TO PCOD,sec011_var001_Allopathic Diagnosis
PCOD / PRIMARY INFERTILITY,sec011_var001_Allopathic Diagnosis
PCOS / MENORRHAGIA,sec011_var001_Allopathic Diagnosis
PCOD WITH MENORRHAGIA/ PRIMART INFERTILITY/DM,sec011_var001_Allopathic Diagnosis
DRY GANGRENE,sec011_var001_Allopathic Diagnosis
RCT,sec011_var001_Allopathic Diagnosis
INSOMINA,sec011_var001_Allopathic Diagnosis
SOFT TISSUE INJURY OF THE RIGHT KNEE,sec011_var001_Allopathic Diagnosis
INTESTIAL LUNG DISEASE,sec011_var001_Allopathic Diagnosis
CVA- RESOLVED,sec011_var001_Allopathic Diagnosis
PARKINSON  DISEASE,sec011_var001_Allopathic Diagnosis
CEREBELLAR,sec011_var001_Allopathic Diagnosis
RHEUMATIC DISEASE,sec011_var001_Allopathic Diagnosis
EPISODIC ATAXIA TYPE2,sec011_var001_Allopathic Diagnosis
ALCOHOL INDUCED ATAXIA,sec011_var001_Allopathic Diagnosis
STRAIN IN THE SACRAL AREA,sec011_var001_Allopathic Diagnosis
PARKINSONS PLUS- MSA,sec011_var001_Allopathic Diagnosis
OSTEOPENIA.,sec011_var001_Allopathic Diagnosis
MED COL LIG STRAIN.,sec011_var001_Allopathic Diagnosis
LBA- LUMBAR SPONDYLITIS,sec011_var001_Allopathic Diagnosis
BACK PAIN FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
VARICOSE VEINS.,sec011_var001_Allopathic Diagnosis
P[ARKINSONS-DLBD,sec011_var001_Allopathic Diagnosis
FATIGUE SYNDROME(NON SPECIFIC MYALGIA),sec011_var001_Allopathic Diagnosis
FATIGUE SYNDROME(NON SPECIFIC MYALGIA) INSOMNIA,sec011_var001_Allopathic Diagnosis
MYALGIA- ERECTOR SPINAE,sec011_var001_Allopathic Diagnosis
CVA-  POST -BASAL GANGLIA-BLEED- SEQUEL,sec011_var001_Allopathic Diagnosis
CEREBRAL PALSY,sec011_var001_Allopathic Diagnosis
FD,sec011_var001_Allopathic Diagnosis
PARAPHYMOSIS,sec011_var001_Allopathic Diagnosis
OA-OSTEOPENIA,sec011_var001_Allopathic Diagnosis
IMBALANCE FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
PD-MSA - CEREBELLAR,sec011_var001_Allopathic Diagnosis
LBA PD-MSA - CEREBELLAR,sec011_var001_Allopathic Diagnosis
PARANACHIA,sec011_var001_Allopathic Diagnosis
FUNGAL INFECTION OF PREPUCE.,sec011_var001_Allopathic Diagnosis
SACROILLITIS BILATERALLY,sec011_var001_Allopathic Diagnosis
GOUTY ATHRITIS,sec011_var001_Allopathic Diagnosis
VERICOSE ULCER,sec011_var001_Allopathic Diagnosis
FUNCTIONAL DYSPEPSIA - TO BE EVALUATED,sec011_var001_Allopathic Diagnosis
SUPERFECIAL THROMBOFLEBITIS,sec011_var001_Allopathic Diagnosis
DE QUERVEINS SYNDROME.,sec011_var001_Allopathic Diagnosis
CARPEL TUNNEL SYNDROME.,sec011_var001_Allopathic Diagnosis
OA KNEE.,sec011_var001_Allopathic Diagnosis
BILATERAL VERIOSITY,sec011_var001_Allopathic Diagnosis
SPONDYLOLISTHESIS WITH IVDP. L5 S1,sec011_var001_Allopathic Diagnosis
POST CA .,sec011_var001_Allopathic Diagnosis
CVA- RIGHT SIDE,sec011_var001_Allopathic Diagnosis
GOLFER'S ELBOW.,sec011_var001_Allopathic Diagnosis
FOOT PAIN FOR EVALUATION ( FASCITIS,sec011_var001_Allopathic Diagnosis
DM -STRESS INDUCED,sec011_var001_Allopathic Diagnosis
POST VIRAL POLYMYALGIA,sec011_var001_Allopathic Diagnosis
MED COL LIG STRAIN,sec011_var001_Allopathic Diagnosis
MULTIPLE JOINT PAIN.,sec011_var001_Allopathic Diagnosis
CHRONIC CERVICITIS / PID,sec011_var001_Allopathic Diagnosis
CHRONIC CERVICITIS,sec011_var001_Allopathic Diagnosis
JUVENILE MND,sec011_var001_Allopathic Diagnosis
TITUBATION,sec011_var001_Allopathic Diagnosis
PHOTO SENSITIVITY,sec011_var001_Allopathic Diagnosis
EAR INFECTION,sec011_var001_Allopathic Diagnosis
FOR EVALUATION,sec011_var001_Allopathic Diagnosis
DIABETES TYPE2,sec011_var001_Allopathic Diagnosis
DIABETES TYPE 2,sec011_var001_Allopathic Diagnosis
COMPLETE ACL TEAR,sec011_var001_Allopathic Diagnosis
SPONDYLOSIS - CERVICAL,sec011_var001_Allopathic Diagnosis
OLD CASE OF FISTULA,sec011_var001_Allopathic Diagnosis
PARSIKINSONS - MSA,sec011_var001_Allopathic Diagnosis
BAKER S CYST,sec011_var001_Allopathic Diagnosis
DYSPEPSIA,sec011_var001_Allopathic Diagnosis
PHLEBITIS-CUBITAL VEIN,sec011_var001_Allopathic Diagnosis
PROSTATOMEGALY WITH FATTY LIVER,sec011_var001_Allopathic Diagnosis
GRADE2 PROSTATOMEGALY WITH CALCANEAL SPUR,sec011_var001_Allopathic Diagnosis
PROGRESSIVE BULBAR PALSY,sec011_var001_Allopathic Diagnosis
MEDIAL COLLATERAL LEGAMENT STRAIN,sec011_var001_Allopathic Diagnosis
LOW BACK PAIN-FOR EVALUATION,sec011_var001_Allopathic Diagnosis
MYALGIA- REDUCED,sec011_var001_Allopathic Diagnosis
MYALGIA- TRAPEZIUS SPASM,sec011_var001_Allopathic Diagnosis
MND - ALS,sec011_var001_Allopathic Diagnosis
MND- ALS,sec011_var001_Allopathic Diagnosis
VAATAVYADHI/ MND- ALS PSP,sec011_var001_Allopathic Diagnosis
SAILEDENITIS,sec011_var001_Allopathic Diagnosis
OA- KNEE JOINT,sec011_var001_Allopathic Diagnosis
PAIN ABDOMEN FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
PAROTITIS-SAILADINITIS,sec011_var001_Allopathic Diagnosis
NECK PAIN- NON SPECIFIC,sec011_var001_Allopathic Diagnosis
DM - T2,sec011_var001_Allopathic Diagnosis
URTICARIA- REDUCED,sec011_var001_Allopathic Diagnosis
URTICATIA,sec011_var001_Allopathic Diagnosis
HNT-UNSTABLE,sec011_var001_Allopathic Diagnosis
LOWER LIMB WEAKNESS FOR EVALUATION - PARAPAREISIS,sec011_var001_Allopathic Diagnosis
NEUROPATHY. DM,sec011_var001_Allopathic Diagnosis
PARKINSON DISEASE- MSA - CEREBELLAR,sec011_var001_Allopathic Diagnosis
PARKINSON DISEASE- MSA-CEREBELLUM,sec011_var001_Allopathic Diagnosis
DM- PERIPHERAL NEUROPATHY.,sec011_var001_Allopathic Diagnosis
NEUROPATHY_DM,sec011_var001_Allopathic Diagnosis
NEUROPATHY.,sec011_var001_Allopathic Diagnosis
PRARKINSON DISEASE-PSP,sec011_var001_Allopathic Diagnosis
CVA-CEREBELLAR BLEED,sec011_var001_Allopathic Diagnosis
UMBILICAL HERNIA,sec011_var001_Allopathic Diagnosis
L. SPONDYLITIS,sec011_var001_Allopathic Diagnosis
LBA CERVICAL SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
GOLFER'S ELBOW IN THE LEFT HAND.,sec011_var001_Allopathic Diagnosis
LEG PAIN FOR EVALUATION-,sec011_var001_Allopathic Diagnosis
PARKINSON DISEASE_MSA,sec011_var001_Allopathic Diagnosis
INJURY LEFT GREAT TOE,sec011_var001_Allopathic Diagnosis
TYPE - 2 DM,sec011_var001_Allopathic Diagnosis
PROSTATOMEGALY,sec011_var001_Allopathic Diagnosis
GANGLION  ON LEFT PALM,sec011_var001_Allopathic Diagnosis
CALLOUS ULCER,sec011_var001_Allopathic Diagnosis
GANGLION EARLY  STAGE.,sec011_var001_Allopathic Diagnosis
TREPIZIUS SPASM,sec011_var001_Allopathic Diagnosis
ECZEEMA,sec011_var001_Allopathic Diagnosis
VENOUS STASIS,sec011_var001_Allopathic Diagnosis
ECZEMA VENOUS STASIS,sec011_var001_Allopathic Diagnosis
VENOUS STASIS ECZEEMA,sec011_var001_Allopathic Diagnosis
VARICOSE VEIN VENOUS STASIS ECZEMA,sec011_var001_Allopathic Diagnosis
QUADRIPLEGIA SECONDARY TO HYPEREXTENSION INJURY,sec011_var001_Allopathic Diagnosis
DMT2 WITH ALLERGIC DERMATITIS,sec011_var001_Allopathic Diagnosis
AXONAL DEMYLINATIVE SENSORY MOTOR POLY RADICULOPATHY,sec011_var001_Allopathic Diagnosis
SENSORY MOTOR NEUROPATHY,sec011_var001_Allopathic Diagnosis
IVDP- L4-5,sec011_var001_Allopathic Diagnosis
PDM,sec011_var001_Allopathic Diagnosis
MYALGIA- ON SPECIFIC,sec011_var001_Allopathic Diagnosis
NUMBNESS IN EXTREMETIES,sec011_var001_Allopathic Diagnosis
EXOSTOSIS OF HUMERUS,sec011_var001_Allopathic Diagnosis
SUPRASPINATUS TENDONITIS,sec011_var001_Allopathic Diagnosis
WEAKNESS OF THE LEGS FOR  EVALUATION,sec011_var001_Allopathic Diagnosis
SLURREDS SPEECH FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SLURRED SPEECH FOR EVALUATION,sec011_var001_Allopathic Diagnosis
ARD SLURRED SPEECH FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SLURRED SPEECH,sec011_var001_Allopathic Diagnosis
T2,sec011_var001_Allopathic Diagnosis
ATAXIA FOR EVALUATION,sec011_var001_Allopathic Diagnosis
SPINO CEREBELLAR ATXIA,sec011_var001_Allopathic Diagnosis
OLD UTI,sec011_var001_Allopathic Diagnosis
COLITIS.,sec011_var001_Allopathic Diagnosis
INABILITY TO WALK FOR EVALUATION,sec011_var001_Allopathic Diagnosis
OBESITY - GRADE -2,sec011_var001_Allopathic Diagnosis
THYROIDITIS,sec011_var001_Allopathic Diagnosis
THROIDITIS- RESOLVED,sec011_var001_Allopathic Diagnosis
OA -,sec011_var001_Allopathic Diagnosis
SENSORY STROKE [ LACUNAR INFARCT],sec011_var001_Allopathic Diagnosis
CRHD WITH MR WITH AR WITH AS,sec011_var001_Allopathic Diagnosis
SENSORY STROKE [ LACUNAR INFARCT] CRHD WITH MR WITH AR WITH AS,sec011_var001_Allopathic Diagnosis
LOSS OF STRENGTH IN LEFT HALF OF BODY FOR EVALUATION,sec011_var001_Allopathic Diagnosis
BURSITIS-ANSARAIN,sec011_var001_Allopathic Diagnosis
OA BURSITIS-ANSARAIN,sec011_var001_Allopathic Diagnosis
PES CAVUS,sec011_var001_Allopathic Diagnosis
POLYARHTRITIS,sec011_var001_Allopathic Diagnosis
TENSOR FASCIA LATAE,sec011_var001_Allopathic Diagnosis
HEAVINESS IF CHEST - FOR EVALUATION,sec011_var001_Allopathic Diagnosis
POST VIRAL FEVER WEAKNESS,sec011_var001_Allopathic Diagnosis
PERIPHERAL NEUROPATHY-DM,sec011_var001_Allopathic Diagnosis
ANEMIA,sec011_var001_Allopathic Diagnosis
OA-ADVAICED,sec011_var001_Allopathic Diagnosis
BURSITIS- ANSARINE B/L,sec011_var001_Allopathic Diagnosis
DVT/ARTERIAL INSUFFICIENCY,sec011_var001_Allopathic Diagnosis
ANGIOPPLASTY,sec011_var001_Allopathic Diagnosis
BIPOLAR DISORDER,sec011_var001_Allopathic Diagnosis
DIABETIC WOUND IN LEFT GREAT TOE,sec011_var001_Allopathic Diagnosis
MDS,sec011_var001_Allopathic Diagnosis
GALL BLADDER CALCULI,sec011_var001_Allopathic Diagnosis
RA-HLAB27 +IVE,sec011_var001_Allopathic Diagnosis
IRITIS,sec011_var001_Allopathic Diagnosis
QUADRIPLEGIA - FOLLOWING SPINAL INJURY,sec011_var001_Allopathic Diagnosis
PARKINSON- PSP,sec011_var001_Allopathic Diagnosis
PARKINSONS-PSP,sec011_var001_Allopathic Diagnosis
PARKINSON'S DISEASE - EARLY,sec011_var001_Allopathic Diagnosis
WITH MYLINOLYSIA,sec011_var001_Allopathic Diagnosis
PARKINSONS DISEASE -EARLY ONSET WITH MYLINOLYSIA.,sec011_var001_Allopathic Diagnosis
BODY PAIN,sec011_var001_Allopathic Diagnosis
DM T2 WITH ANEMIA,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLOSIS ARD,sec011_var001_Allopathic Diagnosis
CELLULTIS,sec011_var001_Allopathic Diagnosis
DERMATITIS,sec011_var001_Allopathic Diagnosis
NUMBNESS- HANDS - FOR EVALUATION,sec011_var001_Allopathic Diagnosis
GENU VALGUS,sec011_var001_Allopathic Diagnosis
BILATERAL BAKERS CYST,sec011_var001_Allopathic Diagnosis
SHOULDER,sec011_var001_Allopathic Diagnosis
WRSIT PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
ACHILIS TENDONITIS,sec011_var001_Allopathic Diagnosis
EVERSION OF FEET>R,sec011_var001_Allopathic Diagnosis
ALCOHOLIC HEPATITIS,sec011_var001_Allopathic Diagnosis
OA WITH SUPRA PATTELAR BURSITIS,sec011_var001_Allopathic Diagnosis
APPARENTLY HEALTH,sec011_var001_Allopathic Diagnosis
OA LUMBAR,sec011_var001_Allopathic Diagnosis
OA /LUMBAR,sec011_var001_Allopathic Diagnosis
/OA-ADVANCED,sec011_var001_Allopathic Diagnosis
PARA TENDONITIS,sec011_var001_Allopathic Diagnosis
VALVULAR DISEASE,sec011_var001_Allopathic Diagnosis
PERONIAL PALSY,sec011_var001_Allopathic Diagnosis
MOUTH ULCER FOR ECALUATION,sec011_var001_Allopathic Diagnosis
TIREDNESS FOR EVALUATION,sec011_var001_Allopathic Diagnosis
# T6,sec011_var001_Allopathic Diagnosis
OA ADVANCED.,sec011_var001_Allopathic Diagnosis
OBESITY GRADE-1,sec011_var001_Allopathic Diagnosis
FIRBOMYALGIA,sec011_var001_Allopathic Diagnosis
POST OP STATUS (LEFT KNEE LIGAMENT INJURY),sec011_var001_Allopathic Diagnosis
HYPOCHONDRIASIS-LEG PAIN,sec011_var001_Allopathic Diagnosis
ALS,sec011_var001_Allopathic Diagnosis
PSEUDO BULBAR PALSY,sec011_var001_Allopathic Diagnosis
CVA-LOCUNAR INFARCTS,sec011_var001_Allopathic Diagnosis
TREMORS -FOR EVALUATION,sec011_var001_Allopathic Diagnosis
PD OA,sec011_var001_Allopathic Diagnosis
CERVICAL SPONDYLITIS-RESOLVED,sec011_var001_Allopathic Diagnosis
TENSOR FACIA LATAE STRAIN,sec011_var001_Allopathic Diagnosis
AXONAL NEUROPATHY-MS,sec011_var001_Allopathic Diagnosis
GRADE - 2 OBESITY,sec011_var001_Allopathic Diagnosis
OBESITY - GRADE - 1,sec011_var001_Allopathic Diagnosis
PARKINSONISM- PSP,sec011_var001_Allopathic Diagnosis
PARKINSONS PLUS - PSP,sec011_var001_Allopathic Diagnosis
PARKINSON'S PLUS - PSP,sec011_var001_Allopathic Diagnosis
GENU VARUS,sec011_var001_Allopathic Diagnosis
OA ADVANCED WITH  OSTEOPOROSIS,sec011_var001_Allopathic Diagnosis
PD-MSA,sec011_var001_Allopathic Diagnosis
DE QUERVEIN'S SYDROME,sec011_var001_Allopathic Diagnosis
OA(ADVANCED),sec011_var001_Allopathic Diagnosis
NEUROPATHY-SENSORY -RESOLVING,sec011_var001_Allopathic Diagnosis
AXONAL  NEUROPATHY,sec011_var001_Allopathic Diagnosis
BONY DEFORMITY FOR EVALUATION,sec011_var001_Allopathic Diagnosis
DEFORMITY OF THUMB - OA INDUCED.,sec011_var001_Allopathic Diagnosis
GIDDINESS FOR EVALUATION-MSA,sec011_var001_Allopathic Diagnosis
ANKLE PAIN FOR EVALUATION,sec011_var001_Allopathic Diagnosis
GIDDNESS FOR EVALUAITON,sec011_var001_Allopathic Diagnosis
TENOSYNIVITIS,sec011_var001_Allopathic Diagnosis
PRURITIS FOR EVALUATION.,sec011_var001_Allopathic Diagnosis
PRURITIS FOR REVALUATION,sec011_var001_Allopathic Diagnosis
L. SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
MOLLASCUM CONTAGIOSUM.,sec011_var001_Allopathic Diagnosis
RT KNEE INJURY,sec011_var001_Allopathic Diagnosis
RT KNEE LIGAMENT INJURY,sec011_var001_Allopathic Diagnosis
CVA-OLD- LEFT,sec011_var001_Allopathic Diagnosis
HYPER ACIDITY WITH OBESITY,sec011_var001_Allopathic Diagnosis
ARTERIO VENOUS MALFORMATION - POST SURGICAL STATUS,sec011_var001_Allopathic Diagnosis
LBA - LUMBAR SPONDYLOSIS,sec011_var001_Allopathic Diagnosis
CVA - EARLY - RECOVERING,sec011_var001_Allopathic Diagnosis
CVA - RIGHT SIDE-OLD,sec011_var001_Allopathic Diagnosis
CVA-EVOLVING STROKE,sec011_var001_Allopathic Diagnosis
CEREBRO CEREBELLAR DECENERATION,sec011_var001_Allopathic Diagnosis
C.SPONDYLOSIS- NEUROPATHY-LEFT,sec011_var001_Allopathic Diagnosis
